"DateTime","Всего","Новые игроки"
"2026-01-21",22.65,22.716666666666665
"2026-01-22",5.25,
"2026-01-23",6.183333333333334,
"2026-01-24",3.175,3.175
"2026-01-29",2.2666666666666666,
"2026-01-30",30.433333333333334,
"2026-01-31",2.2416666666666667,0.3333333333333333
"2026-02-01",1.8,1.8
"2026-02-02",1.0166666666666666,
"2026-02-03",3.220833333333333,2.8944444444444444
"2026-02-04",6.083333333333334,1.8055555555555556
"2026-02-05",1.7100000000000002,2.075
"2026-02-06",5.1722222222222225,0.6166666666666667
"2026-02-07",2.5007246376811594,2.5007246376811594
"2026-02-08",1.9338095238095239,1.9338095238095239
"2026-02-09",2.088636363636364,2.12015503875969
"2026-02-10",1.9895348837209301,2
"2026-02-11",3.498245614035088,3.5439814814814814
"2026-02-12",2.544047619047619,1.9479166666666667
"2026-02-13",2.01046511627907,2.0035714285714286
"2026-02-14",3.0212121212121215,2.3645833333333335
"2026-02-15",1.5473684210526315,1.5302083333333334
"2026-02-16",2.336666666666667,2.720833333333333
"2026-02-17",1.0729166666666667,0.7888888888888889
"2026-02-18",0.5222222222222223,0.5222222222222223
"2026-02-19",3.941666666666667,6.633333333333334
"2026-02-20",3.6866666666666665,4.4375
"2026-02-21",1.0222222222222224,1.0222222222222224
"2026-02-22",2.1547619047619047,2.1547619047619047
