"DateTime","Всего","Новые игроки"
"2026-01-13",0,
"2026-01-21",22.65,22.716666666666665
"2026-01-22",5.25,
"2026-01-23",6.183333333333334,
"2026-01-24",12.7,12.7
"2026-01-29",2.2666666666666666,
"2026-01-30",30.433333333333334,
"2026-01-31",4.483333333333333,0.3333333333333333
"2026-02-01",1.8,1.8
"2026-02-02",1.0166666666666666,
"2026-02-03",12.883333333333333,8.683333333333334
"2026-02-04",30.416666666666668,5.416666666666667
"2026-02-05",8.55,8.3
"2026-02-06",15.516666666666667,0.6166666666666667
"2026-02-07",57.516666666666666,57.516666666666666
"2026-02-08",67.68333333333334,67.68333333333334
"2026-02-09",91.9,91.16666666666667
"2026-02-10",85.55,84
"2026-02-11",132.93333333333334,127.58333333333333
"2026-02-12",71.23333333333333,46.75
"2026-02-13",86.45,84.15
"2026-02-14",33.233333333333334,18.916666666666668
"2026-02-15",29.4,24.483333333333334
"2026-02-16",11.683333333333334,10.883333333333333
"2026-02-17",8.583333333333334,4.733333333333333
"2026-02-18",1.5666666666666667,1.5666666666666667
"2026-02-19",31.533333333333335,26.533333333333335
"2026-02-20",18.433333333333334,17.75
"2026-02-21",3.066666666666667,3.066666666666667
"2026-02-22",15.083333333333334,15.083333333333334
