"DateTime","CTR","Показы"
"2026-01-13",,0
"2026-01-21",,0
"2026-01-22",,0
"2026-01-23",,0
"2026-01-24",,0
"2026-01-29",,0
"2026-01-30",,0
"2026-01-31",,0
"2026-02-01",,0
"2026-02-02",,0
"2026-02-03",,0
"2026-02-04",,0
"2026-02-05",,0
"2026-02-06",,0
"2026-02-07",0,66
"2026-02-08",0.5780346820809248,173
"2026-02-09",2.083333333333333,144
"2026-02-10",1.3888888888888888,144
"2026-02-11",3.1746031746031744,189
"2026-02-12",0,208
"2026-02-13",0.5235602094240838,191
"2026-02-14",2.8901734104046244,173
"2026-02-15",1.8867924528301887,106
"2026-02-16",0,65
"2026-02-17",0,53
"2026-02-18",0,59
"2026-02-19",3.9215686274509802,51
"2026-02-20",0,51
"2026-02-21",2.7027027027027026,37
"2026-02-22",0,32
