"DateTime","Показы"
"2026-01-23",11
"2026-01-24",1.75
"2026-01-29",17
"2026-01-30",79
"2026-01-31",4
"2026-02-01",
"2026-02-02",5
"2026-02-03",3.5
"2026-02-04",6.2
"2026-02-05",0.8
"2026-02-06",16.666666666666668
"2026-02-07",1.9565217391304348
"2026-02-08",1.7142857142857142
"2026-02-09",1.3181818181818181
"2026-02-10",1.558139534883721
"2026-02-11",1.605263157894737
"2026-02-12",1.5
"2026-02-13",2.604651162790698
"2026-02-14",1.3636363636363635
"2026-02-15",2.0526315789473686
"2026-02-16",1
"2026-02-17",1.375
"2026-02-18",1
"2026-02-19",3.375
"2026-02-20",0.8
"2026-02-21",0.3333333333333333
"2026-02-22",1.4285714285714286
