"Страна","Область","Город","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Россия","Республика Мордовия","Саранск","1","1","1.0","1.0","00:00:00"
"Россия","Республика Хакасия","Черногорск","1","1","1.0","1.0","00:00:00"
"Россия","Ростовская область","Аксай","1","1","1.0","1.0","00:00:00"
"Россия","Рязанская область","Рязань","1","1","1.0","1.0","00:00:00"
"Россия","Самарская область","Сызрань","1","1","1.0","1.0","00:00:00"
"Россия","Свердловская область","Берёзовский","1","1","1.0","1.0","00:00:00"
"Россия","Свердловская область","Каменск-Уральский","1","1","1.0","1.0","00:00:00"
"Россия","Смоленская область","Смоленск","1","1","1.0","1.0","00:00:00"
"Россия","Ставропольский край","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Тульская область","Тула","1","1","1.0","1.0","00:00:00"
"Россия","Тюменская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Удмуртская Республика","Ижевск","1","1","1.0","1.0","00:00:00"
"Россия","Хабаровский край","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Челябинская область","Магнитогорск","1","1","1.0","1.0","00:00:00"
"Россия","Челябинская область","Сатка","1","1","1.0","1.0","00:00:00"
"Россия","Чувашская Республика","Новочебоксарск","1","1","1.0","1.0","00:00:00"
"Россия","Чувашская Республика","Шумерля","1","1","1.0","1.0","00:00:00"
"США","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Тайвань","Область не определена","Тайчжун","1","1","1.0","1.0","00:00:00"
"Турция","Провинция Конья","Конья","1","1","1.0","1.0","00:00:00"
"Турция","Провинция Стамбул","Стамбул","1","1","1.0","1.0","00:00:00"
"Узбекистан","Кашкадарьинская область","Шахрисабз","1","1","1.0","1.0","00:00:00"
