"DateTime","ARPDAU"
"2026-01-13",0
"2026-01-21",0
"2026-01-22",0
"2026-01-23",0
"2026-01-24",0
"2026-01-29",0
"2026-01-30",0
"2026-01-31",0
"2026-02-01",0
"2026-02-02",0
"2026-02-03",0
"2026-02-04",0
"2026-02-05",0
"2026-02-06",0
"2026-02-07",0.02
"2026-02-08",0.010285714285714285
"2026-02-09",0.009090909090909092
"2026-02-10",0.030697674418604652
"2026-02-11",0.013421052631578948
"2026-02-12",0.013571428571428571
"2026-02-13",0.029069767441860465
"2026-02-14",0.018181818181818184
"2026-02-15",0.02
"2026-02-16",0.004
"2026-02-17",0.02875
"2026-02-18",0.07666666666666667
"2026-02-19",0.0125
"2026-02-20",0
"2026-02-21",0
"2026-02-22",0.05142857142857143
